protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_O43395,0.010561038,0.020572549,0.011232055,0,0.015828049,0,0,0.017844607
UniRef90_Q60770,0.010562305,0,0,0,0,0,0,0
UniRef90_H0Y5H6,0.004548792,0,0,0,0,0,0,0
UniRef90_Q96SB4,0.00720972,0.007420643,0,0,0,0,0,0
UniRef90_A0A452U888,0.00454821,0.029625738,0.011232009,0,0,0,0,0
UniRef90_Q5F3T9,0,0.007419356,0.00483681,0.013210104,0.025216895,0,0,0
UniRef90_Q5SXG1,0.009097601,0,0,0,0.014019484,0,0,0
UniRef90_A0A5G2R3E4,0.01573303,0.022281664,0.011227825,0.017680082,0,0,0,0.024966909
UniRef90_P21589,0.043688888,0.038146693,0.028233212,0.022582112,0.021000534,0.030122873,0.018244586,0.041070703
UniRef90_Q8K3G9,0.012770591,0.013144804,0,0.011866809,0,0,0.008789938,0
UniRef90_F8VX13,0.012762839,0.019889722,0,0.010213906,0.00498957,0,0,0.034229043
UniRef90_A0A0N4SUV7,0,0,0,0,0,0,0,0.004821501
UniRef90_A0A4X1THT6,0.084437644,0.039876869,0.03110533,0.043198942,0.037296365,0.028199464,0.035527988,0.035984215
UniRef90_F1M9B2,0.019260724,0.039938358,0.020109286,0.019396403,0.021144791,0,0.014286774,0.037847018
UniRef90_V8N9J7,0.025978237,0.021478185,0.018420967,0.013205781,0.011589066,0.008313099,0,0.007638308
UniRef90_M0R3I1,0.004548775,0,0,0,0.004993151,0,0,0.004821484
UniRef90_F7AZD0,0.010562273,0.007420623,0,0,0,0,0,0
UniRef90_M0RAP5,0.007209821,0.00468184,0,0,0,0,0,0
UniRef90_A5GFS9,0,0.009363877,0,0,0.004993117,0,0,0.009643212
UniRef90_Q28833,0.088915751,0.055298403,0.051416259,0.06231838,0.042007244,0.029806736,0.075488797,0.042032716
UniRef90_P07808,0.04942747,0.050383147,0.038575445,0.030498617,0.02945236,0.026595353,0,0.050821539
UniRef90_F1RRK0,0,0,0,0,0.007914111,0,0,0
UniRef90_A0A096LNV3,0.004548792,0,0,0,0,0,0,0
UniRef90_P07942,0.022547604,0.013141843,0.017345719,0.020895343,0.019509773,0.005245894,0,0.007639834
UniRef90_A0A3S6H7Y4,0.012758286,0.036240627,0.004832458,0.008091237,0,0,0.008781004,0.014452873
UniRef90_A0A2K6TPP2,0.011759186,0.012103362,0.004837449,0,0.012908212,0,0,0
UniRef90_Q5VZF2,0,0.019891802,0.02464057,0.005108148,0.014014314,0.019987337,0,0.019708865
UniRef90_S4R1N6,0.021390502,0.019145365,0.009674619,0,0,0,0,0.0111944
UniRef90_A0A5F4BTG2,0.019326297,0,0,0.00511023,0.004993024,0,0,0.004821362
UniRef90_Q4R5G7,0.017778791,0.004681605,0.004837405,0,0,0,0,0
UniRef90_P05556,0.04304458,0.042932036,0.017201642,0.020723814,0.020656822,0,0.022510158,0.035382356
UniRef90_E9Q5J9,0.007207096,0.025293742,0.009672817,0.019459492,0,0,0,0.015283793
UniRef90_Q2QL99,0,0.009363947,0,0,0,0,0,0
UniRef90_F6RDM4,0.049077875,0.065325143,0.040151765,0.061324938,0.039693717,0.035297941,0.064380509,0.086627524
UniRef90_Q63159,0.011758977,0.012102626,0,0,0.011594473,0,0,0.01246372
UniRef90_P19157,0.03640915,0.035450906,0.00482267,0,0.024458116,0,0,0.032978536
UniRef90_H0YJE8,0.004548783,0,0,0,0.00499316,0,0,0
UniRef90_A0A1W2PQ55,0.017314326,0.024944615,0,0.025353526,0,0,0,0.024758033
UniRef90_H0YLC3,0.027732065,0.028350789,0.017315276,0.020417081,0.023714795,0.018132482,0.016610886,0.032343609
UniRef90_H7BZ09,0,0,0,0,0,0,0,0.007642134
UniRef90_H3BQX0,0.10736629,0.051479141,0.038742599,0.042490779,0.041790616,0.037415252,0.03475007,0.077367619
UniRef90_P07954,0.084437644,0.039876869,0.03110533,0.043198942,0.037296365,0.028199464,0.035527988,0.035984215
UniRef90_P27485,0.042760337,0.029757351,0.020456233,0.008055344,0.022173594,0,0,0.031372895
UniRef90_A0A287BLS9,0.015736678,0.019900116,0.004836708,0,0.018483443,0,0,0.012462719
UniRef90_A0A0B4J222,0.024704647,0,0,0,0,0,0,0
UniRef90_E7EV34,0.00720855,0.014842216,0,0,0.009985365,0,0,0.024130794
UniRef90_E9PK45,0.021884611,0.022767593,0.007665183,0.005108708,0.004991537,0,0.00554401,0.015283612
UniRef90_P10852,0.01511273,0.014046332,0,0,0,0,0,0
UniRef90_H0Y8I3,0,0,0.004837665,0,0,0,0,0
